SequenceId,GermlineDist,TargetDist
lcl_1034647-1,13.69863014,89.7810219
lcl_1021387-1,13.79310345,88.32116788
lcl_1025658-1,9.655172414,90
lcl_1026012-1,10.63829787,83.8028169
lcl_1032539-1,5.555555556,88.19444444
lcl_1038206-1,9.219858156,85.10638298
lcl_1007045-1,4.225352113,90.14084507
lcl_1003243-1,11.88811189,81.50684932
lcl_1035374-1,8.275862069,82.43243243
lcl_1000454-1,4.225352113,88.11188811
lcl_1017054-1,19.04761905,76.66666667
lcl_1023514-1,2.816901408,88.73239437
lcl_1038159-1,5.673758865,88.57142857
lcl_1029294-1,11.26760563,89.28571429
lcl_1023638-1,11.80555556,89.05109489
lcl_1007844-1,2.112676056,88.19444444
lcl_1008880-1,13.10344828,89.05109489
lcl_1015192-1,3.546099291,88.81118881
lcl_1002177-1,5.673758865,87.32394366
lcl_1018030-1,13.19444444,85.81560284
lcl_1015073-1,6.382978723,88.02816901
lcl_1008798-1,4.929577465,88.81118881
lcl_1003086-1,21.47651007,75
lcl_1034530-1,3.546099291,88.73239437
lcl_1005298-1,5.673758865,92.85714286
lcl_1020891-1,7.692307692,84.72222222
lcl_1033609-1,11.11111111,90.51094891
lcl_1017091-1,2.836879433,88.02816901
lcl_1031067-1,12.85714286,83.09859155
lcl_1020576-1,5.673758865,82.87671233
lcl_1017822-1,14.28571429,84.61538462
lcl_1012104-1,13.79310345,88.32116788
lcl_1006764-1,13.19444444,85.50724638
lcl_1032714-1,11.80555556,90.57971014
lcl_1006405-1,10.41666667,89.28571429
lcl_1035412-1,15.75342466,84.39716312
lcl_1017863-1,3.496503497,86.98630137
lcl_1007927-1,13.10344828,89.05109489
lcl_1025972-1,11.80555556,89.05109489
lcl_1028453-1,18.05555556,84.39716312
lcl_1030533-1,17.00680272,77.33333333
lcl_1034540-1,13.69863014,89.7810219
lcl_1028925-1,10.2739726,89.20863309
lcl_1003616-1,8.391608392,89.20863309
lcl_1002444-1,9.589041096,89.43661972
lcl_1017719-1,14.58333333,82.9787234
lcl_1020551-1,9.154929577,86.61971831
lcl_1029045-1,9.85915493,86.42857143
lcl_1017801-1,9.090909091,86.89655172
lcl_1004939-1,8.450704225,86.11111111
lcl_1034858-1,11.11111111,90
lcl_1013508-1,11.88811189,85
lcl_1004915-1,11.11111111,89.7810219
lcl_1028924-1,6.382978723,89.28571429
lcl_1002768-1,14.08450704,84.55882353
lcl_1023053-1,11.97183099,83.68794326
lcl_1025966-1,13.01369863,83.8028169
lcl_1015097-1,15.49295775,83.45323741
lcl_1018492-1,8.391608392,84.82758621
lcl_1035141-1,13.28671329,84.28571429
lcl_1009173-1,11.11111111,90
lcl_1037204-1,15.06849315,85.10638298
lcl_1000397-1,2.127659574,87.5
lcl_1004772-1,6.993006993,89.28571429
lcl_1035616-1,4.929577465,88.02816901
lcl_1020575-1,10.41666667,84.82758621
lcl_1030350-1,13.10344828,88.57142857
lcl_1021817-1,11.11111111,84.02777778
lcl_1013641-1,5.633802817,90.71428571
lcl_1003272-1,5.633802817,88.19444444
lcl_102897-3,13.79310345,88.32116788
lcl_1027983-1,13.19444444,84.02777778
lcl_1018698-1,11.18881119,87.14285714
lcl_1027418-1,9.722222222,89.85507246
lcl_101563-3,11.11111111,90.51094891
lcl_1005814-1,10.41666667,89.28571429
lcl_1005480-1,9.154929577,83.21678322
lcl_1025548-1,5.673758865,91.30434783
lcl_1004904-1,9.722222222,87.14285714
lcl_1010138-1,9.722222222,82.43243243
lcl_1003557-1,7.638888889,86.61971831
lcl_1015420-1,2.836879433,88.11188811
lcl_1005159-1,10.48951049,82.75862069
