Source,Target,Hamming,Color
S_A113794;size=1;,S_A116682;size=1;,2,white
S_A113794;size=1;,S_A27054;size=2;,2,white
S_A110327;size=1;,S_A23568;size=4;,2,white
S_A114334;size=1;,S_A23568;size=4;,2,white
S_A23568;size=4;,S_A331609;size=1;,1,black
S_A23568;size=4;,S_A374922;size=1;,2,white
S_A331609;size=1;,S_A374922;size=1;,1,black
S_A1418;size=67;,S_A120606;size=1;,1,black
S_A1418;size=67;,S_A121432;size=1;,2,white
S_A1418;size=67;,S_A22436;size=6;,2,white
S_A1418;size=67;,S_A24086;size=3;,2,white
S_A1418;size=67;,S_A214743;size=1;,2,white
S_A1575;size=50;,S_A1680;size=43;,2,white
S_A1575;size=50;,S_A1860;size=35;,2,white
S_A1575;size=50;,S_A11603;size=19;,2,white
S_A1575;size=50;,S_A11672;size=19;,3,white
S_A1575;size=50;,S_A13834;size=7;,2,white
S_A1575;size=50;,S_A15086;size=4;,3,white
S_A1575;size=50;,S_A15327;size=4;,3,white
S_A1575;size=50;,S_A17049;size=2;,2,white
S_A1575;size=50;,S_A17066;size=2;,3,white
S_A1575;size=50;,S_A110749;size=1;,3,white
S_A1575;size=50;,S_A114116;size=1;,3,white
S_A1575;size=50;,S_A114703;size=1;,3,white
S_A1575;size=50;,S_A115449;size=1;,3,white
S_A1575;size=50;,S_A116244;size=1;,3,white
S_A1575;size=50;,S_A116797;size=1;,3,white
S_A1575;size=50;,S_A118267;size=1;,3,white
S_A1575;size=50;,S_A122018;size=1;,3,white
S_A1575;size=50;,S_A122480;size=1;,2,white
S_A1575;size=50;,S_A124603;size=1;,3,white
S_A1575;size=50;,S_A142375;size=1;,3,white
S_A1575;size=50;,S_A142621;size=1;,3,white
S_A1575;size=50;,S_A143177;size=1;,3,white
S_A1575;size=50;,S_A143772;size=1;,3,white
S_A1575;size=50;,S_A144016;size=1;,1,black
S_A1575;size=50;,S_A2456;size=49;,2,white
S_A1575;size=50;,S_A27437;size=2;,3,white
S_A1575;size=50;,S_A27732;size=2;,3,white
S_A1575;size=50;,S_A211376;size=1;,3,white
S_A1575;size=50;,S_A219568;size=1;,2,white
S_A1575;size=50;,S_A225534;size=1;,1,black
S_A1575;size=50;,S_A233361;size=1;,3,white
S_A1575;size=50;,S_A234235;size=1;,2,white
S_A1575;size=50;,S_A235625;size=1;,3,white
S_A1575;size=50;,S_A235919;size=1;,3,white
S_A1575;size=50;,S_A239069;size=1;,3,white
S_A1575;size=50;,S_A239399;size=1;,2,white
S_A1575;size=50;,S_A240179;size=1;,3,white
S_A1575;size=50;,S_A32665;size=3;,3,white
S_A1575;size=50;,S_A32803;size=3;,3,white
S_A1575;size=50;,S_A38001;size=1;,3,white
S_A1575;size=50;,S_A313097;size=1;,3,white
S_A1575;size=50;,S_A315750;size=1;,3,white
S_A1575;size=50;,S_A318369;size=1;,3,white
S_A1575;size=50;,S_A323791;size=1;,3,white
S_A1575;size=50;,S_A323793;size=1;,2,white
S_A1575;size=50;,S_A323925;size=1;,3,white
S_A1575;size=50;,S_A336551;size=1;,3,white
S_A1575;size=50;,S_A338860;size=1;,2,white
S_A1575;size=50;,S_A349756;size=1;,3,white
S_A1575;size=50;,S_A354041;size=1;,3,white
S_A1575;size=50;,S_A354807;size=1;,3,white
S_A1575;size=50;,S_A356159;size=1;,3,white
S_A1575;size=50;,S_A356166;size=1;,2,white
S_A1575;size=50;,S_A364710;size=1;,3,white
S_A1575;size=50;,S_A371946;size=1;,3,white
S_A1575;size=50;,S_TP3153;size=2;,3,white
S_A1575;size=50;,S_TP18911;size=1;,3,white
S_A1680;size=43;,S_A1860;size=35;,1,black
S_A1680;size=43;,S_A1958;size=31;,2,white
S_A1680;size=43;,S_A11603;size=19;,3,white
S_A1680;size=43;,S_A11672;size=19;,3,white
S_A1680;size=43;,S_A12738;size=10;,3,white
S_A1680;size=43;,S_A13834;size=7;,3,white
S_A1680;size=43;,S_A14328;size=5;,3,white
S_A1680;size=43;,S_A15086;size=4;,3,white
S_A1680;size=43;,S_A15327;size=4;,2,white
S_A1680;size=43;,S_A17066;size=2;,1,black
S_A1680;size=43;,S_A18195;size=2;,3,white
S_A1680;size=43;,S_A110749;size=1;,3,white
S_A1680;size=43;,S_A113471;size=1;,3,white
S_A1680;size=43;,S_A114116;size=1;,2,white
S_A1680;size=43;,S_A114703;size=1;,3,white
S_A1680;size=43;,S_A115449;size=1;,3,white
S_A1680;size=43;,S_A116244;size=1;,3,white
S_A1680;size=43;,S_A116797;size=1;,3,white
S_A1680;size=43;,S_A118267;size=1;,1,black
S_A1680;size=43;,S_A122417;size=1;,3,white
S_A1680;size=43;,S_A122480;size=1;,3,white
S_A1680;size=43;,S_A124603;size=1;,2,white
S_A1680;size=43;,S_A128227;size=1;,3,white
S_A1680;size=43;,S_A130877;size=1;,3,white
S_A1680;size=43;,S_A137112;size=1;,3,white
S_A1680;size=43;,S_A142375;size=1;,3,white
S_A1680;size=43;,S_A143772;size=1;,3,white
S_A1680;size=43;,S_A144016;size=1;,3,white
S_A1680;size=43;,S_A145103;size=1;,2,white
S_A1680;size=43;,S_A2249;size=102;,3,white
S_A1680;size=43;,S_A2456;size=49;,2,white
S_A1680;size=43;,S_A2635;size=33;,3,white
